#\label{tab:centraj_abunds}
#1[Msun/yr],10[Msun/yr],100[Msun/yr],1k[Msun/yr],10k[Msun/yr],100k[Msun/yr]
Element,A,mod.C.ar1d0,mod.C.ar1d1,mod.C.ar1d2,mod.C.ar1d3,mod.C.ar1d4,mod.C.ar1d5
Ti,49,7.77e-08,7.82e-08,5.66e-06,8.81e-06,8.71e-06,1.66e-08
Ti,50,1.00e-98,1.00e-98,1.00e-98,1.60e-24,7.33e-12,2.18e-05
V,50,1.00e-99,1.00e-99,1.00e-99,4.25e-29,3.54e-08,1.01e-09
$Y_\mathrm{efin}$,N/A,8.64e-01,8.63e-01,8.63e-01,8.61e-01,4.68e-01,4.47e-01
\bottomrule
\end{tabular}
\caption{Abundancesfortrajectoriesmod.C.ar1d0,mod.C.ar1d1,
	mod.C.ar1d2,mod.C.ar1d3mod.C.ar1d4andmod.C.ar1d5respectively,uptoisotope
	$^{50}$V.Completetablesareavailableonline.Finalelectronfractions(Ye)are
	providedattheendofthetable.%\sj{theeshouldbesubscriptedandtheYshouldbe
		%italicizedfor$Y_\mathrm{e}$.Itmightbeclearertogivethesenumbersto3
	%significantfiguresinsteadof4.Also,split``isotope''columnintoelement(e.g.Na)
%andA(e.g.23)-onlythefirstletteroftheelementshouldbecapitalized.yrshouldnotbe
%initalicintheheader.}\textcolor{Plum}{JKIthinkI'vecoveredthesepointsforthefourtables.}
}

\end{table*}
