# Table 1 from Silva Aguirre et al. (2018). https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.5487S/abstract submit data cleaning bugs to GalacticCEM@gmail.com
#J/MNRAS/475/5487    Stellar properties of KIC stars       (Silva Aguirre+, 2018)
#================================================================================
#Confirming chemical clocks:
#asteroseismic age dissection of the Milky Way disc(s).
#    Silva Aguirre V., Bojsen-Hansen M., Slumstrup D., Casagrande L., Kawata D.,
#    Ciuca I., Handberg R., Lund M.N., Mosumgaard J.R., Huber D., Johnson J.A.,
#    Pinsonneault M.H., Serenelli A.M., Stello D., Tayar J., Bird J.C.,
#    Cassisi S., Hon M., Martig M., Nissen P.E., Rix H.W., Schonrich R.,
#    Sahlholdt C., Trick W.H., Yu J.
#   <Mon. Not. R. Astron. Soc., 475, 5487-5500 (2018)>
#   =2018MNRAS.475.5487S    (SIMBAD/NED BibCode)
#================================================================================
#ADC_Keywords: Stars, giant ; Stars, masses ; Stars, diameters ; Stars, ages ;
#              Stars, distances
#Keywords: asteroseismology - stars: fundamental parameters -
#          stars: kinematics and dynamic - Galaxy: disc - Galaxy: evolution -
#          Galaxy: structure
#
#Abstract:
#    Investigations of the origin and evolution of the Milky Way disc have
#    long relied on chemical and kinematic identifications of its
#    components to reconstruct our Galactic past. Difficulties in
#    determining precise stellar ages have restricted most studies to small
#    samples, normally confined to the solar neighbourhood. Here, we break
#    this impasse with the help of asteroseismic inference and perform a
#    chronology of the evolution of the disc throughout the age of the
#    Galaxy. We chemically dissect the Milky Way disc population using a
#    sample of red giant stars spanning out to 2 kpc in the solar annulus
#    observed by the Kepler satellite, with the added dimension of
#    asteroseismic ages. Our results reveal a clear difference in age
#    between the low- and high-{alpha} populations, which also show
#    distinct velocity dispersions in the V and W components. We find no
#    tight correlation between age and metallicity nor [{alpha}/Fe] for the
#    high-{alpha} disc stars. Our results indicate that this component
#    formed over a period of more than 2 Gyr with a wide range of [M/H] and
#    [{alpha}/Fe] independent of time. Our findings show that the kinematic
#    properties of young {alpha}-rich stars are consistent with the rest of
#    the high-{alpha} population and different from the low-{alpha} stars
#    of similar age, rendering support to their origin being old stars that
#    went through a mass transfer or stellar merger event, making them
#    appear younger, instead of migration of truly young stars formed close
#    to the Galactic bar.
#
#Description:
#    The set of stars considered in this study are the 1989 red giants
#    comprising the first combined APOGEE and Kepler catalogues, in which
#    the Kepler spacecraft detected oscillations during its nominal
#    mission.
#
#    We determined stellar properties for the APOKASC sample combining the
#    photometric, spectroscopic, and asteroseismic observables using the
#    BAyesian STellar Algorithm (BASTA, Silva Aguirre et al. 2015, Cat.
#    J/MNRAS/452/2127, 2017, Cat. J/ApJ/835/173).
#
#File Summary:
#--------------------------------------------------------------------------------
# FileName      Lrecl  Records   Explanations
#--------------------------------------------------------------------------------
#ReadMe            80        .   This file
#table1.dat        99     1197   Stellar properties determined with BASTA for
#                                 the APOKASC sample
#--------------------------------------------------------------------------------
#
#See also:
#             V/133 : Kepler Input Catalog (Kepler Mission Team, 2009)
#  J/MNRAS/452/2127 : Fundamental parameters of Kepler stars
#                                                    (Silva Aguirre+, 2015)
# J/ApJ/835/173     : Kepler asteroseismic LEGACY sample. II.
#                                                    (Silva Aguirre+, 2017)
#
#Byte-by-byte Description of file: table1.dat
#--------------------------------------------------------------------------------
#   Bytes Format Units     Label     Explanations
#--------------------------------------------------------------------------------
#   1-  8  I8    ---       KIC       Kepler Input Catalogue Identifier
#  10- 14  F5.3  Msun      Mass      Mass
#  16- 20  F5.3  Msun    e_Mass      rms uncertainty on Mass
#  22- 27  F6.3  Rsun      Rad       Radius
#  29- 33  F5.3  Rsun    e_Rad       rms uncertainty on Rad
#  35- 39  F5.3  [cm/s2]   logg      Surface gravity
#  41- 45  F5.3  [cm/s2] e_logg      rms uncertainty on logg
#  47- 52  F6.3  Gyr       Age       Age
#  54- 58  F5.3  Gyr     e_Age       rms uncertainty on Age
#  60- 66  F7.3  Lsun      Lum       Luminosity
#  68- 73  F6.3  Lsun    e_Lum       rms uncertainty on Lum
#  75- 81  F7.2  pc        Dist      Distance
#  83- 88  F6.2  pc      e_Dist      rms uncertainty on Dist
#  90- 99  F10.8 ---       Prob      Target selection probability
#--------------------------------------------------------------------------------
#
#History:
#    From electronic version of the journal
#
#================================================================================
#(End)                                      Patricia Vannier [CDS]    08-Apr-2021
# names=['KIC', 'Mass', 'e_Mass', 'Rad', 'e_Rad', 'logg', 'e_logg', 'Age', 'e_Age', 'Lum', 'e_Lum', 'Dist', 'e_Dist', 'Prob']
# KIC Mass e_Mass Rad e_Rad logg e_logg Age e_Ae Lum e_Lum Dist e_Dist Prob
11441797 1.262 0.086  8.590 0.214 2.669 0.008  4.545 1.329  33.889  3.590  991.81  37.94 0.26012594
11597759 0.995 0.130 10.851 0.664 2.361 0.011 11.650 5.066  54.495  7.737 1839.83 114.50 0.00041032
11442227 1.323 0.271 12.678 0.889 2.351 0.030  6.104 4.912  69.515 11.997 1592.35  99.45 0.06951034
11337714 1.431 0.092 11.327 0.301 2.488 0.011  3.698 1.012  56.953  4.600  802.34  24.86 0.29995687
11230630 1.090 0.110 10.935 0.434 2.397 0.014  8.401 4.058  57.888  6.442 1936.84  80.42 0.00073487
11955410 1.172 0.063 10.856 0.218 2.434 0.008  6.213 1.834  57.636  4.299 1155.44  32.59 0.16170202
12005162 1.186 0.064  5.013 0.093 3.112 0.007  5.389 1.357  13.319  1.392  498.01  18.56 0.35624524
11805460 1.392 0.082 11.250 0.301 2.480 0.008  3.894 1.014  56.722  3.932 1194.20  32.08 0.19382726
11805792 1.327 0.085 11.267 0.303 2.461 0.009  3.991 1.139  60.899  4.774 1791.05  52.31 0.01789317
11855110 1.437 0.078 11.228 0.328 2.502 0.010  2.807 0.819  64.917  5.686 1817.94  60.19 0.06398194
11754056 1.202 0.050 10.883 0.166 2.444 0.008  6.199 1.447  54.734  3.434 1663.90  42.70 0.00484666
11804677 1.815 0.316 17.970 1.108 2.196 0.015  1.611 0.954 135.434 23.954 1582.94  97.55 0.45816754
11703230 1.152 0.081 10.860 0.277 2.429 0.011  6.575 2.289  57.363  4.741 1366.84  42.37 0.11723031
11753722 0.985 0.082  8.400 0.242 2.582 0.010 11.433 4.011  30.051  4.179 1306.55  77.63 0.08771244
12101990 1.031 0.105 10.696 0.477 2.393 0.008 10.401 4.491  54.048  5.686 1990.63  81.33 0.00013659
11954465 1.108 0.038  6.009 0.080 2.924 0.004  8.366 1.648  16.376  1.404  688.82  20.96 0.20265495
11954989 1.284 0.113 12.761 0.414 2.337 0.010  4.979 1.670  60.173  5.890 1795.98  71.97 0.00128237
11904929 1.576 0.054 10.936 0.154 2.559 0.007  1.897 0.233  65.800  4.036  799.68  20.18 0.64532523
11954278 1.265 0.084 11.064 0.300 2.454 0.012  5.403 1.485  54.780  3.767 1414.85  36.74 0.12771479
11953849 1.322 0.070 11.102 0.278 2.471 0.009  4.094 1.057  59.710  4.090 1354.63  34.88 0.19174709
12003742 2.524 0.332 11.572 0.657 2.707 0.018  0.689 0.449  81.599 12.368 1831.65  97.61 0.41139631
11753018 1.481 0.103  8.856 0.211 2.714 0.009  3.205 0.927  32.991  3.471  857.83  32.09 0.31971312
12003253 1.196 0.207 11.464 0.833 2.407 0.024  6.255 3.696  61.798 10.260 1376.22  82.81 0.11686509
11953581 1.382 0.072 11.262 0.251 2.474 0.008  4.389 0.930  53.409  2.235  906.17  16.54 0.22449985
11649869 0.869 0.231 12.777 1.166 2.159 0.031 12.859 5.964  84.044 15.361 2417.98 199.45 0.00389883
11250139 1.025 0.096  9.346 0.312 2.508 0.012  8.953 3.020  37.866  3.995  845.13  39.18 0.20168352
11615224 0.976 0.111 10.426 0.420 2.390 0.017 12.533 5.043  50.952  3.681 1075.92  33.62 0.10443445
11512096 1.028 0.107 10.575 0.410 2.401 0.013  9.357 4.335  56.637  5.149  894.85  32.44 0.16348743
11668246 1.551 0.193 11.519 0.403 2.508 0.015  2.792 0.817  58.017  5.924 1622.47  59.20 0.21296275
11668036 1.536 0.065 11.193 0.247 2.533 0.009  2.401 0.390  62.073  4.394 1112.37  30.59 0.38015443
11667928 1.129 0.096 11.169 0.515 2.400 0.011  7.217 2.990  57.899  6.067 1103.92  43.27 0.15217256
11564787 1.075 0.110 11.615 0.531 2.337 0.014 11.028 4.120  52.448  6.153 1602.74  66.45 0.00377661
11409529 1.312 0.093 11.257 0.286 2.451 0.011  5.408 1.450  52.656  2.653 1598.54  33.56 0.01978001
11357004 1.360 0.178 13.327 0.612 2.323 0.017  3.663 1.819  73.452 12.031  990.38  61.28 0.30750797
11513798 1.131 0.049  6.550 0.096 2.860 0.005  8.509 1.493  17.853  0.922  687.47  15.25 0.19780046
11617622 1.219 0.074 11.351 0.273 2.416 0.009  6.101 1.966  55.812  3.828 1601.63  42.81 0.04212189
11618522 1.864 0.136 10.519 0.230 2.670 0.009  1.497 0.227  55.296  4.156  758.84  21.81 0.58860881
11669113 1.245 0.211 13.428 0.791 2.275 0.021  5.755 3.546  67.860 11.533 1593.70 108.66 0.09747585
11617501 1.136 0.074  9.544 0.230 2.534 0.008  6.878 1.677  38.119  2.555 1455.36  39.83 0.09308302
11514322 1.596 0.074  9.425 0.143 2.691 0.005  2.300 0.375  39.578  2.014 1121.32  23.55 0.39316047
11410549 1.449 0.131 11.617 0.388 2.472 0.013  3.284 1.188  61.948  7.492  951.95  41.15 0.31184853
11357686 1.078 0.083  8.112 0.222 2.649 0.010  9.547 2.995  26.801  2.301 1161.65  39.82 0.09637465
11462972 1.625 0.151 11.393 0.327 2.543 0.013  2.251 0.521  60.661  5.571  740.04  25.35 0.49263276
11669622 1.370 0.213 11.826 0.775 2.442 0.017  3.402 1.787  72.506 11.141 1494.12  83.13 0.22997768
11567572 2.026 0.161 11.028 0.307 2.665 0.009  1.403 0.206  58.032  5.717 1510.89  55.15 0.68261686
11568605 1.568 0.101 10.448 0.255 2.596 0.008  2.493 0.625  45.968  3.849  915.01  29.03 0.42979101
11517524 1.410 0.075  6.827 0.126 2.919 0.007  3.698 0.889  21.186  1.659  818.52  25.20 0.29547930
11567563 1.421 0.095 10.786 0.272 2.523 0.008  3.313 0.896  48.265  4.315 1420.41  46.57 0.20802855
11412190 1.150 0.056 10.770 0.178 2.434 0.009  5.896 1.504  60.229  3.204 1941.35  42.06 0.00607260
11518492 1.263 0.097  9.039 0.261 2.619 0.009  5.841 1.731  34.317  3.154  977.14  33.89 0.17022860
11413158 2.758 0.198 12.624 0.399 2.680 0.007  0.498 0.114  88.327  8.186 1147.75  39.77 0.56223424
11465784 1.276 0.065 11.025 0.265 2.461 0.010  4.706 1.140  58.271  3.009 1589.01  33.74 0.14779999
11569659 1.125 0.090 10.739 0.278 2.428 0.015  6.314 2.180  60.076  3.653 1540.10  37.62 0.13033926
11623012 1.315 0.089 11.107 0.297 2.469 0.013  3.905 1.237  62.177  5.537 1509.43  50.31 0.18004489
11621486 1.339 0.129 11.210 0.356 2.468 0.011  3.322 1.123  56.878  6.457 1459.06  59.33 0.25348869
11622144 1.855 0.163 12.287 0.329 2.521 0.011  1.598 0.365  71.875  5.706 2223.77  67.00 0.03206756
11521155 1.493 0.049 11.112 0.140 2.523 0.008  2.601 0.390  62.290  3.790 2014.69  48.20 0.01193309
11521352 1.331 0.047  6.509 0.086 2.934 0.005  3.675 0.668  21.591  1.179  900.20  19.89 0.32714598
11521197 1.724 0.101  9.257 0.212 2.742 0.008  1.605 0.360  42.469  3.648 1230.94  40.05 0.49030672
11468340 1.544 0.085 11.200 0.230 2.535 0.010  2.301 0.437  62.600  3.965 1669.12  41.38 0.29896548
11673900 1.591 0.076 11.190 0.209 2.550 0.008  2.208 0.433  61.418  4.994 1350.66  42.24 0.35579131
11674692 2.344 0.226  9.630 0.432 2.842 0.009  0.944 0.349  50.875  6.119 1296.14  57.63 0.85513364
11775398 1.111 0.067 10.756 0.211 2.421 0.010  7.891 2.260  53.865  3.202  779.21  19.89 0.18683145
11090395 1.350 0.089 11.136 0.328 2.481 0.013  3.503 1.016  62.975  5.476 1553.04  50.71 0.20579380
11037290 1.786 0.141 11.772 0.340 2.545 0.012  1.907 0.500  64.840  6.020  960.55  33.13 0.44076781
